CustomerID,Age,Gender,MaritalStatus,IncomeLevel,Churn,MonthlyCharges,Tenure,TotalCharges,Contract,InternetService,OnlineSecurity,TechSupport,PaymentMethod
1,62,M,Single,Low,1,34.96714153011233,4,139.86856612044932,Month-to-month,DSL,Yes,No,Mailed check
2,65,M,Married,Low,1,28.617356988288154,2,57.23471397657631,Month-to-month,Fiber optic,Yes,No,Electronic check
3,18,M,Single,Low,1,36.47688538100692,24,875.4452491441662,Month-to-month,Fiber optic,No,No,Bank transfer
4,21,M,Widowed,Low,1,45.23029856408026,29,1311.6786583583275,Month-to-month,No,No,Yes,Mailed check
5,21,M,Divorced,Medium,1,47.658466252766644,1,47.658466252766644,Two year,Fiber optic,Yes,No,Bank transfer
6,57,F,Divorced,Medium,1,47.6586304305082,66,3145.469608413541,One year,No,No,Yes,Mailed check
7,27,F,Married,High,0,95.79212815507391,1,95.79212815507391,One year,DSL,No,No,Mailed check
8,37,M,Single,Low,1,37.67434729152909,18,678.1382512475236,Month-to-month,Fiber optic,No,No,Bank transfer
9,39,M,Divorced,High,1,75.30525614065049,29,2183.8524280788642,Two year,Fiber optic,No,No,Mailed check
10,68,M,Married,High,0,85.42560043585965,49,4185.854421357123,Month-to-month,Fiber optic,Yes,No,Mailed check
11,54,M,Divorced,Medium,1,45.365823071875376,30,1360.9746921562612,Month-to-month,Fiber optic,No,No,Mailed check
12,41,F,Married,Low,1,25.34270246429743,38,963.0226936433024,One year,Fiber optic,No,No,Mailed check
13,24,F,Divorced,Low,1,32.41962271566034,9,291.77660444094306,Month-to-month,Fiber optic,No,No,Mailed check
14,42,M,Widowed,Medium,0,30.86719755342202,40,1234.687902136881,Month-to-month,Fiber optic,No,No,Credit card
15,42,M,Divorced,Medium,0,32.75082167486967,2,65.50164334973934,One year,DSL,Yes,No,Mailed check
16,30,F,Single,Medium,1,44.37712470759027,54,2396.3647342098748,Two year,DSL,No,No,Mailed check
17,19,M,Married,Low,1,20.0,19,380.0,One year,DSL,Yes,No,Bank transfer
18,56,F,Married,High,1,83.14247332595274,40,3325.6989330381093,One year,Fiber optic,No,No,Electronic check
19,57,F,Divorced,High,0,70.91975924478788,14,992.8766294270304,Two year,Fiber optic,No,No,Electronic check
20,41,M,Single,Low,1,20.0,24,480.0,Month-to-month,DSL,Yes,No,Credit card
21,64,M,Divorced,High,1,94.65648768921554,17,1609.1602907166641,Month-to-month,Fiber optic,No,Yes,Bank transfer
22,42,F,Divorced,Low,0,27.742236995134643,31,860.009346849174,Month-to-month,Fiber optic,Yes,No,Bank transfer
23,35,F,Divorced,Low,1,30.67528204687924,2,61.35056409375848,One year,No,No,Yes,Bank transfer
24,55,M,Widowed,Medium,0,35.75251813786544,1,35.75251813786544,One year,DSL,No,No,Electronic check
25,43,F,Married,Low,0,24.556172754748175,6,147.33703652848905,Two year,DSL,No,Yes,Bank transfer
26,31,M,Single,Medium,0,51.10922589709866,4,204.43690358839464,One year,Fiber optic,No,Yes,Mailed check
27,26,M,Widowed,Medium,1,38.490064225776976,49,1886.0131470630718,One year,DSL,No,No,Mailed check
28,27,F,Widowed,High,0,83.75698018345672,5,418.7849009172836,Month-to-month,DSL,No,No,Mailed check
29,38,F,Divorced,Medium,1,43.99361310081195,72,3167.5401432584604,Two year,DSL,No,Yes,Electronic check
30,69,M,Divorced,High,1,77.08306250206724,9,693.7475625186052,Two year,DSL,No,No,Electronic check
31,34,M,Divorced,Low,0,23.98293387770603,4,95.93173551082413,Two year,No,Yes,Yes,Credit card
32,69,F,Married,High,0,98.52278184508938,37,3645.3429282683073,Month-to-month,DSL,No,Yes,Mailed check
33,23,M,Divorced,High,0,79.86502775262066,25,1996.6256938155166,One year,Fiber optic,Yes,No,Mailed check
34,33,M,Widowed,High,0,69.422890710441,16,1110.766251367056,Month-to-month,DSL,No,No,Electronic check
35,65,M,Married,Low,1,38.225449121031886,19,726.2835332996058,Month-to-month,DSL,Yes,Yes,Electronic check
36,18,F,Widowed,Low,0,20.0,30,600.0,Month-to-month,DSL,Yes,No,Bank transfer
37,36,F,Married,Medium,0,52.08863595004755,6,312.53181570028534,One year,Fiber optic,No,Yes,Mailed check
38,53,F,Married,Low,1,20.0,72,1440.0,One year,Fiber optic,No,No,Mailed check
39,42,M,Married,Medium,1,36.71813951101569,72,2643.70604479313,Month-to-month,No,Yes,No,Electronic check
40,67,F,Widowed,Low,1,31.968612358691235,25,799.2153089672809,Month-to-month,DSL,Yes,No,Bank transfer
41,69,F,Married,High,1,87.3846657999541,5,436.92332899977055,One year,No,No,No,Electronic check
42,47,M,Widowed,Medium,1,51.7136828118997,27,1396.269435921292,Month-to-month,DSL,No,No,Electronic check
43,37,M,Single,Low,1,28.843517176117594,1,28.843517176117594,Month-to-month,DSL,Yes,No,Mailed check
44,37,F,Widowed,Low,0,26.988963044107113,1,26.988963044107113,One year,DSL,Yes,Yes,Electronic check
45,32,F,Widowed,Low,0,20.0,7,140.0,Two year,No,No,No,Electronic check
46,57,F,Married,High,0,72.80155791605291,14,1019.2218108247408,Month-to-month,DSL,Yes,No,Bank transfer
47,50,F,Married,Medium,1,45.393612290402125,48,2178.893389939302,Month-to-month,DSL,No,Yes,Bank transfer
48,19,M,Divorced,Medium,1,60.57122226218915,31,1877.7078901278637,Month-to-month,Fiber optic,No,Yes,Credit card
49,27,F,Single,Medium,1,53.43618289568462,32,1709.9578526619077,Two year,Fiber optic,No,No,Mailed check
50,50,F,Single,Low,0,20.0,13,260.0,One year,DSL,Yes,No,Electronic check
51,49,M,Divorced,Medium,0,53.24083969394795,10,532.4083969394794,One year,Fiber optic,No,Yes,Electronic check
52,28,M,Widowed,Medium,0,46.149177195836835,11,507.6409491542052,Month-to-month,Fiber optic,No,Yes,Credit card
53,41,F,Widowed,Low,1,23.230779996940413,72,1672.6161597797097,One year,Fiber optic,No,No,Bank transfer
54,53,F,Married,Low,1,36.11676288840868,1,36.11676288840868,Month-to-month,Fiber optic,No,No,Bank transfer
55,29,F,Single,Low,0,40.30999522495951,48,1934.8797707980564,One year,Fiber optic,No,No,Electronic check
56,68,F,Married,Low,1,39.31280119116199,20,786.2560238232397,Two year,Fiber optic,No,No,Mailed check
57,46,F,Divorced,High,0,71.60782476777362,13,930.9017219810571,One year,No,No,Yes,Electronic check
58,52,M,Single,High,1,76.90787624148786,31,2384.1441634861235,Two year,DSL,No,No,Bank transfer
59,18,M,Married,Medium,1,53.31263431403564,16,853.0021490245703,One year,Fiber optic,No,No,Credit card
60,18,F,Single,High,0,89.75545127122359,49,4398.017112289956,Month-to-month,Fiber optic,No,No,Credit card
61,54,M,Single,Low,0,25.2082576215471,55,1386.4541691850907,Two year,DSL,Yes,Yes,Mailed check
62,23,F,Married,High,0,78.14341023336183,13,1015.8643330337038,Month-to-month,Fiber optic,No,No,Mailed check
